make,Year,mpg,Displacement,price
Nissan,2017,27.0,2.5,15700
Nissan,2017,22.0,3.5,15700
Nissan,2017,27.0,2.5,15700
Nissan,2017,22.0,3.5,15700
Chevrolet,2017,24.0,1.8,13900
Chevrolet,2017,25.0,1.8,13900
Chevrolet,2017,27.0,1.4,13900
Chevrolet,2017,28.0,1.4,13900
Lexus,2015,18.0,3.5,22399
Land Rover,2015,17.0,3.0,53755
Toyota,2015,29.0,1.8,14100
Toyota,2015,27.0,1.8,14100
Toyota,2015,28.0,1.8,14100
Toyota,2015,28.0,1.8,14100
Hyundai,2017,26.0,1.6,11900
Hyundai,2017,27.0,1.6,11900
Honda,2010,40.0,1.3,6555
Honda,2010,40.0,1.3,6555
Buick,2015,25.0,1.4,17000
Dodge,2018,19.0,2.4,18300
Dodge,2018,17.0,3.6,18300
Hyundai,2013,22.0,2.0,11300
Hyundai,2013,24.0,2.4,11300
Hyundai,2013,24.0,2.4,11300
Chevrolet,2017,22.0,2.5,16000
Chevrolet,2017,18.0,3.6,16000
Chevrolet,2017,19.0,3.6,16000
Kia,2018,25.0,2.0,16400
Kia,2018,25.0,1.6,16400
Kia,2018,24.0,1.6,16400
Kia,2018,26.0,1.6,16400
Volkswagen,2014,20.0,3.6,10495
Volkswagen,2014,30.0,2.0,10495
Volkswagen,2014,24.0,1.8,10495
Volkswagen,2014,24.0,1.8,10495
Volkswagen,2014,22.0,2.5,10495
Volkswagen,2014,22.0,2.5,10495
Toyota,2017,21.0,3.5,17100
Toyota,2017,24.0,2.5,17100
Infiniti,2015,16.0,5.6,22530
Infiniti,2015,18.0,3.7,22530
Dodge,2015,19.0,3.6,23500
Dodge,2015,16.0,5.7,23500
Dodge,2015,19.0,3.6,23500
Toyota,2016,23.0,2.5,25045
Nissan,2017,27.0,2.5,15200
Nissan,2017,22.0,3.5,15200
Kia,2015,20.0,2.0,17000
Kia,2015,23.0,2.4,17000
Lexus,2016,21.0,3.5,27800
Buick,2015,25.0,1.4,15500
Volkswagen,2016,21.0,2.0,17400
Lexus,2015,21.0,2.5,19499
Dodge,2017,17.0,3.6,15500
Dodge,2017,17.0,3.6,15500
Toyota,2016,27.0,1.8,14900
Toyota,2016,28.0,1.8,14900
Toyota,2016,29.0,1.8,14900
Toyota,2016,28.0,1.8,14900
Volkswagen,2016,21.0,2.0,17999
Nissan,2017,31.0,1.6,13000
Nissan,2017,27.0,1.6,13000
Nissan,2017,26.0,1.6,13000
Kia,2016,25.0,1.8,12600
Kia,2016,24.0,2.0,12600
Kia,2016,26.0,1.8,12600
Volkswagen,2016,21.0,2.0,19000
Nissan,2017,27.0,2.5,17100
Nissan,2017,22.0,3.5,17100
Chrysler,2015,17.0,3.6,17800
Chrysler,2015,17.0,3.6,17800
Audi,2015,23.0,3.0,25985
Audi,2015,20.0,2.0,25985
Audi,2015,18.0,3.0,25985
Lexus,2013,43.0,1.8,12999
Nissan,2017,27.0,1.8,12800
Nissan,2017,29.0,1.8,12800
Nissan,2017,26.0,1.6,12800
Nissan,2017,27.0,1.6,12800
Hyundai,2015,24.0,2.4,16300
Hyundai,2015,22.0,2.0,16300
Hyundai,2015,28.0,1.6,16300
Chevrolet,2010,15.0,7.0,28730
Chevrolet,2010,16.0,6.2,28730
Chevrolet,2010,14.0,6.2,28730
Chevrolet,2010,15.0,6.2,28730
Infiniti,2015,20.0,3.7,21900
Volkswagen,2013,22.0,2.0,14700
Volkswagen,2013,17.0,3.6,14700
Volkswagen,2013,21.0,2.0,14700
Chevrolet,2018,27.0,1.5,28300
Chevrolet,2018,22.0,2.0,28300
Acura,2016,25.0,2.4,19700
Hyundai,2017,25.0,2.4,13400
Hyundai,2017,28.0,1.6,13400
Hyundai,2017,22.0,2.0,13400
Volkswagen,2014,22.0,2.0,15600
Volkswagen,2014,21.0,2.0,15600
Toyota,2015,23.0,2.5,16499
Honda,2016,19.0,3.5,22499
Hyundai,2016,28.0,1.6,12700
Hyundai,2016,27.0,1.6,12700
Hyundai,2016,26.0,1.6,12700
Hyundai,2016,25.0,1.6,12700
Nissan,2017,21.0,3.5,20200
Toyota,2016,21.0,3.5,21400
Volkswagen,2016,21.0,2.0,15200
Volkswagen,2014,29.0,2.0,13600
Volkswagen,2014,29.0,2.0,13600
Volkswagen,2014,23.0,2.5,13600
Maserati,2015,13.0,4.7,65999
Kia,2015,24.0,1.6,14500
Kia,2015,24.0,1.6,14500
Kia,2015,23.0,2.0,14500
Buick,2016,25.0,1.4,17700
Buick,2016,27.0,1.4,17700
Dodge,2017,17.0,3.6,16400
Dodge,2017,17.0,3.6,16400
Hyundai,2018,25.0,2.4,17800
Hyundai,2018,23.0,2.0,17800
Hyundai,2018,28.0,1.6,17800
Toyota,2015,23.0,2.5,18000
Volkswagen,2018,18.0,3.6,27430
Volkswagen,2018,22.0,2.0,27430
Dodge,2017,19.0,3.6,20400
Dodge,2017,16.0,5.7,20400
Dodge,2017,15.0,6.4,20400
Dodge,2017,15.0,5.7,20400
Dodge,2017,14.0,6.4,20400
Hyundai,2015,24.0,2.0,13000
Hyundai,2015,24.0,2.0,13000
Hyundai,2015,27.0,1.8,13000
Hyundai,2015,27.0,1.8,13000
Volkswagen,2013,27.0,2.0,14000
Volkswagen,2013,21.0,2.0,14000
Volkswagen,2013,28.0,2.0,14000
Volkswagen,2013,22.0,2.5,14000
Volkswagen,2013,22.0,2.0,14000
Volkswagen,2013,22.0,2.5,14000
Buick,2016,18.0,3.6,17999
Buick,2016,18.0,3.6,17999
Kia,2016,28.0,1.6,22900
Kia,2016,22.0,2.0,22900
Kia,2016,24.0,2.4,22900
Scion,2015,23.0,2.5,15000
Scion,2015,23.0,2.5,15000
Lexus,2017,15.0,4.6,48700
Volkswagen,2012,22.0,2.0,10900
Volkswagen,2012,18.0,2.0,10900
Buick,2016,25.0,1.4,16600
Buick,2016,27.0,1.4,16600
Kia,2017,25.0,1.6,14280
Kia,2017,25.0,2.0,14280
Kia,2017,24.0,1.6,14280
Kia,2017,26.0,1.6,14280
Lexus,2016,22.0,2.0,23300
Toyota,2015,25.0,2.5,16800
Toyota,2015,21.0,3.5,16800
Chevrolet,2017,43.0,1.5,23600
Dodge,2016,16.0,5.7,21200
Dodge,2016,15.0,6.4,21200
Dodge,2016,19.0,3.6,21200
Dodge,2016,19.0,3.6,21200
Toyota,2017,21.0,3.5,15700
Toyota,2017,24.0,2.5,15700
Nissan,2015,27.0,1.8,11200
Nissan,2015,29.0,1.8,11200
Chevrolet,2017,27.0,1.5,14900
Chevrolet,2017,22.0,2.0,14900
Toyota,2014,23.0,2.5,18755
Dodge,2017,17.0,3.6,18900
Dodge,2017,17.0,3.6,18900
Volkswagen,2016,25.0,1.8,14800
Volkswagen,2016,24.0,2.0,14800
Volkswagen,2016,23.0,2.0,14800
Volkswagen,2016,25.0,1.8,14800
Volkswagen,2016,28.0,1.4,14800
Volkswagen,2016,28.0,1.4,14800
Hyundai,2016,28.0,1.8,12500
Hyundai,2016,27.0,1.8,12500
Hyundai,2016,24.0,2.0,12500
Hyundai,2016,24.0,2.0,12500
Volkswagen,2018,22.0,2.0,23655
Chevrolet,2017,22.0,2.5,16200
Chevrolet,2017,18.0,3.6,16200
Chevrolet,2017,19.0,3.6,16200
Lexus,2017,20.0,3.5,40600
Cadillac,2015,18.0,3.6,20599
Nissan,2017,31.0,1.6,13700
Nissan,2017,27.0,1.6,13700
Nissan,2017,26.0,1.6,13700
Lexus,2016,21.0,3.5,22999
Toyota,2018,20.0,2.7,26855
Toyota,2018,20.0,3.5,26855
Nissan,2015,27.0,2.5,13400
Nissan,2015,22.0,3.5,13400
Lexus,2018,20.0,3.5,45130
Hyundai,2016,22.0,2.0,14600
Hyundai,2016,25.0,2.4,14600
Hyundai,2016,28.0,1.6,14600
Lexus,2016,22.0,2.0,24300
Hyundai,2015,24.0,2.4,16700
Hyundai,2015,22.0,2.0,16700
Hyundai,2015,28.0,1.6,16700
Nissan,2017,27.0,2.5,17500
Nissan,2017,22.0,3.5,17500
Toyota,2016,27.0,1.8,11999
Toyota,2016,28.0,1.8,11999
Toyota,2016,29.0,1.8,11999
Toyota,2016,28.0,1.8,11999
Volkswagen,2013,27.0,2.0,16500
Volkswagen,2013,21.0,2.0,16500
Volkswagen,2013,28.0,2.0,16500
Volkswagen,2013,22.0,2.5,16500
Volkswagen,2013,22.0,2.0,16500
Volkswagen,2013,22.0,2.5,16500
Nissan,2017,27.0,1.8,11455
Nissan,2017,29.0,1.8,11455
Nissan,2017,26.0,1.6,11455
Nissan,2017,27.0,1.6,11455
Audi,2014,19.0,3.0,26755
Audi,2014,16.0,3.0,26755
Nissan,2015,27.0,2.5,13800
Nissan,2015,22.0,3.5,13800
Hyundai,2015,24.0,2.4,17600
Hyundai,2015,22.0,2.0,17600
Hyundai,2015,28.0,1.6,17600
Volkswagen,2014,29.0,2.0,12100
Volkswagen,2014,29.0,2.0,12100
Volkswagen,2014,26.0,1.8,12100
Volkswagen,2014,25.0,1.8,12100
Volkswagen,2014,24.0,2.0,12100
Volkswagen,2014,23.0,2.0,12100
Volkswagen,2014,23.0,2.0,12100
Volkswagen,2014,24.0,2.0,12100
Volkswagen,2014,29.0,2.0,12500
Volkswagen,2014,29.0,2.0,12500
Volkswagen,2014,26.0,1.8,12500
Volkswagen,2014,25.0,1.8,12500
Volkswagen,2014,24.0,2.0,12500
Volkswagen,2014,23.0,2.0,12500
Volkswagen,2014,23.0,2.0,12500
Volkswagen,2014,24.0,2.0,12500
Hyundai,2016,22.0,2.0,14300
Hyundai,2016,25.0,2.4,14300
Hyundai,2016,28.0,1.6,14300
Nissan,2017,27.0,1.8,13000
Nissan,2017,29.0,1.8,13000
Nissan,2017,26.0,1.6,13000
Nissan,2017,27.0,1.6,13000
Toyota,2015,23.0,2.5,19499
Cadillac,2015,18.0,3.6,20399
Cadillac,2015,19.0,2.0,20399
Cadillac,2015,21.0,2.0,20399
Cadillac,2015,21.0,2.5,20399
Volkswagen,2013,22.0,2.0,13600
Volkswagen,2013,17.0,3.6,13600
Volkswagen,2013,21.0,2.0,13600
BMW,2015,28.0,1.5,69999
Ford,2016,22.0,2.3,21999
Ford,2016,21.0,2.3,21999
Ford,2016,17.0,3.7,21999
Ford,2016,19.0,3.7,21999
Ford,2016,16.0,5.0,21999
Ford,2016,15.0,5.0,21999
Hyundai,2016,24.0,2.0,12600
Hyundai,2016,24.0,2.0,12600
Hyundai,2016,22.0,2.0,13800
Hyundai,2016,25.0,2.4,13800
Hyundai,2016,28.0,1.6,13800
Kia,2014,24.0,1.6,14300
Kia,2014,24.0,1.6,14300
Kia,2014,23.0,2.0,14300
Land Rover,2015,20.0,2.0,23099
Nissan,2016,27.0,2.5,17500
Nissan,2016,22.0,3.5,17500
Nissan,2017,27.0,2.5,17700
Nissan,2017,22.0,3.5,17700
Lexus,2016,40.0,2.5,30500
Volkswagen,2016,25.0,1.8,11499
Volkswagen,2016,24.0,2.0,11499
Volkswagen,2016,23.0,2.0,11499
Volkswagen,2016,25.0,1.8,11499
Volkswagen,2016,28.0,1.4,11499
Volkswagen,2016,28.0,1.4,11499
Lexus,2016,20.0,3.5,37660
Audi,2018,21.0,3.0,51180
Lexus,2018,22.0,2.0,30560
Dodge,2017,19.0,2.4,15400
Dodge,2017,17.0,3.6,15400
Land Rover,2017,21.0,2.0,30299
Kia,2015,24.0,1.6,15100
Kia,2015,24.0,1.6,15100
Kia,2015,23.0,2.0,15100
Audi,2015,23.0,3.0,27695
Audi,2015,20.0,2.0,27695
Audi,2015,18.0,3.0,27695
Toyota,2016,21.0,3.5,20100
Hyundai,2017,28.0,2.0,14000
Hyundai,2017,26.0,2.0,14000
Hyundai,2017,32.0,1.4,14000
Hyundai,2017,26.0,1.6,14000
Hyundai,2017,22.0,1.6,14000
Kia,2015,19.0,3.3,16900
Chevrolet,2016,22.0,2.0,16200
Chevrolet,2016,27.0,1.5,16200
Lexus,2015,19.0,3.5,23999
Kia,2017,20.0,3.3,21999
Chrysler,2015,19.0,3.6,13999
Chrysler,2015,16.0,5.7,13999
Chrysler,2015,19.0,3.6,13999
Buick,2017,20.0,1.6,25700
Chevrolet,2018,27.0,1.5,18400
Chevrolet,2018,22.0,2.0,18400
Nissan,2015,27.0,1.8,15200
Nissan,2015,29.0,1.8,15200
Porsche,2017,20.0,2.0,47599
Volkswagen,2013,27.0,2.0,12400
Volkswagen,2013,21.0,2.0,12400
Volkswagen,2013,28.0,2.0,12400
Volkswagen,2013,22.0,2.5,12400
Volkswagen,2013,22.0,2.0,12400
Volkswagen,2013,22.0,2.5,12400
Volkswagen,2017,20.0,2.0,18900
Cadillac,2015,18.0,3.6,21700
Cadillac,2015,19.0,2.0,21700
Cadillac,2015,21.0,2.0,21700
Cadillac,2015,21.0,2.5,21700
Hyundai,2017,28.0,2.0,17000
Hyundai,2017,26.0,2.0,17000
Hyundai,2017,32.0,1.4,17000
Hyundai,2017,26.0,1.6,17000
Hyundai,2017,22.0,1.6,17000
Buick,2015,25.0,1.4,17300
Nissan,2016,27.0,2.5,14999
Nissan,2016,22.0,3.5,14999
Land Rover,2018,18.0,3.0,48755
Land Rover,2018,21.0,2.0,48755
Land Rover,2018,26.0,2.0,48755
Hyundai,2016,28.0,1.8,12200
Hyundai,2016,27.0,1.8,12200
Hyundai,2016,24.0,2.0,12200
Hyundai,2016,24.0,2.0,12200
Toyota,2017,21.0,3.5,17400
Toyota,2017,24.0,2.5,17400
Toyota,2016,25.0,2.5,22250
Toyota,2016,21.0,3.5,22250
Honda,2017,18.0,3.5,21900
Honda,2017,21.0,3.5,21900
Honda,2017,21.0,3.5,21900
Honda,2017,23.0,2.4,21900
Honda,2017,27.0,2.4,21900
Honda,2017,26.0,2.4,21900
Cadillac,2015,18.0,3.6,20500
Cadillac,2015,19.0,2.0,20500
Cadillac,2015,21.0,2.0,20500
Cadillac,2015,21.0,2.5,20500
Chrysler,2017,19.0,3.6,24100
Chrysler,2017,16.0,5.7,24100
Chrysler,2017,19.0,3.6,24100
Lexus,2015,22.0,2.0,24755
Acura,2016,25.0,2.4,18300
Chevrolet,2017,24.0,1.8,12900
Chevrolet,2017,25.0,1.8,12900
Chevrolet,2017,27.0,1.4,12900
Chevrolet,2017,28.0,1.4,12900
Audi,2016,24.0,2.0,27175
Volkswagen,2014,22.0,2.0,13600
Volkswagen,2014,21.0,2.0,13600
Hyundai,2016,24.0,2.0,13500
Hyundai,2016,24.0,2.0,13500
Acura,2015,24.0,2.4,19900
Acura,2015,21.0,3.5,19900
Nissan,2016,27.0,1.8,12700
Nissan,2016,29.0,1.8,12700
Kia,2017,25.0,1.6,13700
Kia,2017,25.0,2.0,13700
Kia,2017,24.0,1.6,13700
Kia,2017,26.0,1.6,13700
Chrysler,2017,19.0,3.6,18700
Chrysler,2017,16.0,5.7,18700
Chrysler,2017,19.0,3.6,18700
Buick,2017,21.0,3.6,22200
Hyundai,2017,26.0,1.6,11800
Hyundai,2017,27.0,1.6,11800
Hyundai,2015,24.0,2.4,14400
Hyundai,2015,22.0,2.0,14400
Hyundai,2015,28.0,1.6,14400
Acura,2016,25.0,2.4,16999
Volkswagen,2016,21.0,2.0,13999
Nissan,2015,27.0,1.8,13400
Nissan,2015,29.0,1.8,13400
Hyundai,2015,24.0,2.4,17900
Hyundai,2015,22.0,2.0,17900
Hyundai,2015,28.0,1.6,17900
Toyota,2016,25.0,2.5,15800
Toyota,2016,21.0,3.5,15800
Kia,2018,22.0,2.0,17300
Kia,2018,24.0,2.4,17300
Kia,2018,28.0,1.6,17300
Toyota,2017,21.0,3.5,13999
Toyota,2017,24.0,2.5,13999
Toyota,2017,21.0,3.5,15200
Toyota,2017,24.0,2.5,15200
Jaguar,2018,20.0,3.0,30399
Jaguar,2018,25.0,2.0,30399
Jaguar,2018,31.0,2.0,30399
Nissan,2016,27.0,2.5,14600
Nissan,2016,22.0,3.5,14600
Acura,2017,25.0,2.4,17999
Toyota,2017,27.0,1.8,14100
Toyota,2017,28.0,1.8,14100
Toyota,2017,28.0,1.8,14100
Hyundai,2017,26.0,1.6,11200
Hyundai,2017,27.0,1.6,11200
Volkswagen,2016,25.0,1.8,17700
Volkswagen,2016,24.0,2.0,17700
Volkswagen,2016,23.0,2.0,17700
Volkswagen,2016,25.0,1.8,17700
Volkswagen,2016,28.0,1.4,17700
Volkswagen,2016,28.0,1.4,17700
Audi,2015,23.0,3.0,29400
Audi,2015,20.0,2.0,29400
Audi,2015,18.0,3.0,29400
Dodge,2017,17.0,3.6,17700
Dodge,2017,17.0,3.6,17700
Kia,2015,20.0,2.0,15600
Kia,2015,23.0,2.4,15600
Volkswagen,2015,24.0,1.8,18700
Volkswagen,2015,25.0,1.8,18700
Volkswagen,2015,24.0,2.0,18700
Volkswagen,2015,23.0,2.0,18700
Volkswagen,2015,30.0,2.0,18700
Volkswagen,2015,30.0,2.0,18700
Toyota,2016,27.0,1.8,11999
Toyota,2016,28.0,1.8,11999
Toyota,2016,29.0,1.8,11999
Toyota,2016,28.0,1.8,11999
Hyundai,2015,20.0,3.3,15999
Nissan,2015,27.0,1.8,12200
Nissan,2015,29.0,1.8,12200
Chevrolet,2017,22.0,2.5,17430
Chevrolet,2017,18.0,3.6,17430
Chevrolet,2017,19.0,3.6,17430
Kia,2015,20.0,2.0,12000
Kia,2015,23.0,2.4,12000
Kia,2017,25.0,1.6,11999
Kia,2017,25.0,2.0,11999
Kia,2017,24.0,1.6,11999
Kia,2017,26.0,1.6,11999
Infiniti,2015,20.0,3.7,20000
Hyundai,2017,28.0,2.0,17300
Hyundai,2017,26.0,2.0,17300
Hyundai,2017,32.0,1.4,17300
Hyundai,2017,26.0,1.6,17300
Hyundai,2017,22.0,1.6,17300
Dodge,2016,19.0,2.4,15300
Dodge,2016,17.0,3.6,15300
Buick,2015,25.0,1.4,17400
Cadillac,2015,18.0,3.6,17299
Cadillac,2015,19.0,2.0,17299
Cadillac,2015,21.0,2.0,17299
Cadillac,2015,21.0,2.5,17299
Hyundai,2016,22.0,2.0,16200
Hyundai,2016,25.0,2.4,16200
Hyundai,2016,28.0,1.6,16200
Buick,2016,25.0,1.4,16700
Buick,2016,27.0,1.4,16700
Volkswagen,2013,22.0,2.0,13600
Volkswagen,2013,17.0,3.6,13600
Volkswagen,2013,21.0,2.0,13600
Nissan,2016,27.0,1.8,13900
Nissan,2016,29.0,1.8,13900
Nissan,2018,21.0,3.5,20699
Land Rover,2016,20.0,2.0,29580
Nissan,2015,27.0,1.8,12600
Nissan,2015,29.0,1.8,12600
Dodge,2016,16.0,5.7,19900
Dodge,2016,15.0,6.4,19900
Dodge,2016,19.0,3.6,19900
Dodge,2016,19.0,3.6,19900
Hyundai,2015,24.0,2.4,15800
Hyundai,2015,22.0,2.0,15800
Hyundai,2015,28.0,1.6,15800
Volkswagen,2016,21.0,2.0,17400
Nissan,2016,22.0,3.5,17999
Lexus,2015,21.0,3.5,24100
Buick,2016,25.0,1.4,16500
Buick,2016,27.0,1.4,16500
Ford,2014,19.0,3.7,21000
Ford,2014,19.0,3.7,21000
Ford,2014,15.0,5.8,21000
Ford,2014,18.0,5.0,21000
Ford,2014,16.0,5.0,21000
Volkswagen,2013,22.0,2.0,14300
Volkswagen,2013,17.0,3.6,14300
Volkswagen,2013,21.0,2.0,14300
Chevrolet,2018,27.0,1.5,18900
Chevrolet,2018,22.0,2.0,18900
Nissan,2016,27.0,2.5,15700
Nissan,2016,22.0,3.5,15700
Toyota,2014,25.0,2.5,13600
Toyota,2014,21.0,3.5,13600
Chrysler,2017,19.0,3.6,22500
Chrysler,2017,16.0,5.7,22500
Chrysler,2017,19.0,3.6,22500
Chevrolet,2017,25.0,1.4,12999
Lexus,2015,21.0,3.5,19999
Subaru,2017,20.0,2.0,25600
Subaru,2017,18.0,2.0,25600
Subaru,2017,17.0,2.5,25600
BMW,2016,14.0,4.4,56999
Lexus,2016,20.0,3.5,38100
Ford,2017,21.0,2.3,25799
Ford,2017,21.0,2.3,25799
Ford,2017,18.0,3.7,25799
Ford,2017,18.0,3.7,25799
Ford,2017,15.0,5.0,25799
Ford,2017,15.0,5.0,25799
Infiniti,2015,20.0,3.7,19200
Toyota,2015,25.0,2.5,16000
Toyota,2015,21.0,3.5,16000
Volkswagen,2016,21.0,2.0,13999
Acura,2015,24.0,2.4,19600
Acura,2015,21.0,3.5,19600
Buick,2015,25.0,1.4,13999
Audi,2015,23.0,3.0,27000
Audi,2015,20.0,2.0,27000
Audi,2015,18.0,3.0,27000
Toyota,2015,23.0,2.5,20400
Nissan,2016,22.0,3.5,19100
Chevrolet,2016,22.0,2.0,13999
Chevrolet,2016,27.0,1.5,13999
Volkswagen,2017,28.0,1.4,15000
Volkswagen,2017,28.0,1.4,15000
Volkswagen,2017,24.0,2.0,15000
Volkswagen,2017,23.0,2.0,15000
Volkswagen,2017,25.0,1.8,15000
Honda,2015,29.0,1.8,13700
Honda,2015,29.0,1.8,13700
Honda,2015,28.0,1.8,13700
Honda,2015,22.0,2.4,13700
Honda,2016,18.0,3.5,18100
Honda,2016,21.0,3.5,18100
Honda,2016,21.0,3.5,18100
Honda,2016,23.0,2.4,18100
Honda,2016,27.0,2.4,18100
Honda,2016,26.0,2.4,18100
Nissan,2017,27.0,1.8,13000
Nissan,2017,29.0,1.8,13000
Nissan,2017,26.0,1.6,13000
Nissan,2017,27.0,1.6,13000
Jaguar,2016,20.0,3.0,33900
Infiniti,2017,20.0,3.0,20000
Infiniti,2017,23.0,2.0,20000
Dodge,2017,19.0,2.4,18220
Dodge,2017,17.0,3.6,18220
Lexus,2015,43.0,1.8,18700
Chevrolet,2015,25.0,2.5,15700
Chevrolet,2015,21.0,2.0,15700
Nissan,2017,27.0,1.8,14000
Nissan,2017,29.0,1.8,14000
Nissan,2017,26.0,1.6,14000
Nissan,2017,27.0,1.6,14000
Buick,2016,21.0,2.0,22900
Buick,2016,20.0,2.0,22900
Buick,2016,19.0,2.4,22900
Hyundai,2017,28.0,2.0,13900
Hyundai,2017,26.0,2.0,13900
Hyundai,2017,32.0,1.4,13900
Hyundai,2017,26.0,1.6,13900
Hyundai,2017,22.0,1.6,13900
Volkswagen,2016,21.0,2.0,15000
Lexus,2015,19.0,3.5,22999
Kia,2017,27.0,1.6,11300
Kia,2017,27.0,1.6,11300
Kia,2018,25.0,2.0,16200
Kia,2018,25.0,1.6,16200
Kia,2018,24.0,1.6,16200
Kia,2018,26.0,1.6,16200
Kia,2016,28.0,1.6,14300
Kia,2016,22.0,2.0,14300
Kia,2016,24.0,2.4,14300
Cadillac,2015,18.0,3.6,22700
Cadillac,2015,19.0,2.0,22700
Cadillac,2015,21.0,2.0,22700
Cadillac,2015,21.0,2.5,22700
Kia,2018,28.0,1.6,14000
Kia,2018,29.0,1.6,14000
Chrysler,2017,19.0,3.6,19755
Chrysler,2017,16.0,5.7,19755
Chrysler,2017,19.0,3.6,19755
Hyundai,2015,24.0,2.4,15000
Hyundai,2015,22.0,2.0,15000
Hyundai,2015,28.0,1.6,15000
Porsche,2016,19.0,3.6,44599
Audi,2015,18.0,4.0,30930
Audi,2015,14.0,6.3,30930
Audi,2015,24.0,3.0,30930
Audi,2015,19.0,3.0,30930
Hyundai,2017,26.0,1.6,11400
Hyundai,2017,27.0,1.6,11400
Nissan,2017,27.0,2.5,14900
Nissan,2017,22.0,3.5,14900
Kia,2018,22.0,2.0,17400
Kia,2018,24.0,2.4,17400
Kia,2018,28.0,1.6,17400
Cadillac,2016,17.0,3.6,27500
Toyota,2014,27.0,1.8,12700
Toyota,2014,29.0,1.8,12700
Toyota,2014,29.0,1.8,12700
Toyota,2014,28.0,1.8,12700
Chevrolet,2016,22.0,2.0,17200
Chevrolet,2016,27.0,1.5,17200
Chevrolet,2014,15.0,6.2,27700
Chevrolet,2014,19.0,3.6,27700
Chevrolet,2014,17.0,3.6,27700
Chevrolet,2014,18.0,3.6,27700
Chevrolet,2014,16.0,6.2,27700
Chevrolet,2014,14.0,6.2,27700
Chevrolet,2014,12.0,6.2,27700
Chevrolet,2014,13.0,7.0,27700
Infiniti,2016,17.0,3.7,25600
Dodge,2017,17.0,3.6,17500
Dodge,2017,17.0,3.6,17500
Chrysler,2018,19.0,3.6,18455
Chrysler,2018,19.0,3.6,18455
Chrysler,2018,16.0,5.7,18455
Volkswagen,2015,24.0,2.0,15575
Volkswagen,2015,23.0,2.0,15575
Volkswagen,2015,30.0,2.0,15575
Volkswagen,2015,31.0,2.0,15575
Volkswagen,2015,25.0,2.0,15575
Volkswagen,2015,25.0,1.8,15575
Volkswagen,2015,25.0,1.8,15575
Volkswagen,2015,22.0,2.0,15575
Infiniti,2017,24.0,2.0,23255
Hyundai,2015,24.0,2.4,16300
Hyundai,2015,22.0,2.0,16300
Hyundai,2015,28.0,1.6,16300
Lexus,2015,21.0,2.5,19999
Kia,2017,25.0,1.6,13000
Kia,2017,25.0,2.0,13000
Kia,2017,24.0,1.6,13000
Kia,2017,26.0,1.6,13000
Toyota,2017,27.0,1.8,17000
Toyota,2017,28.0,1.8,17000
Toyota,2017,28.0,1.8,17000
Land Rover,2016,14.0,5.0,61699
Land Rover,2016,17.0,3.0,61699
Honda,2015,29.0,1.8,10999
Honda,2015,29.0,1.8,10999
Honda,2015,28.0,1.8,10999
Honda,2015,22.0,2.4,10999
Toyota,2015,53.0,1.5,11999
Volkswagen,2013,22.0,2.0,12900
Volkswagen,2013,17.0,3.6,12900
Volkswagen,2013,21.0,2.0,12900
Chrysler,2018,19.0,3.6,18899
Chrysler,2018,19.0,3.6,18899
Chrysler,2018,16.0,5.7,18899
Chevrolet,2018,19.0,3.6,27980
Chevrolet,2018,14.0,6.2,27980
Chevrolet,2018,16.0,6.2,27980
Chevrolet,2018,17.0,6.2,27980
Chevrolet,2018,13.0,6.2,27980
Chevrolet,2018,22.0,2.0,27980
Chevrolet,2018,20.0,2.0,27980
Chevrolet,2018,16.0,3.6,27980
Volkswagen,2016,20.0,3.6,14000
Volkswagen,2016,25.0,1.8,14000
Honda,2015,18.0,3.5,14999
Honda,2015,21.0,3.5,14999
Honda,2015,21.0,3.5,14999
Honda,2015,23.0,2.4,14999
Honda,2015,27.0,2.4,14999
Honda,2015,26.0,2.4,14999
Nissan,2016,22.0,3.5,20200
Lexus,2016,21.0,3.5,23999
Nissan,2015,27.0,2.5,17200
Nissan,2015,22.0,3.5,17200
Volkswagen,2014,22.0,2.0,14600
Volkswagen,2014,21.0,2.0,14600
Toyota,2016,21.0,3.5,20600
Dodge,2017,17.0,3.6,17300
Dodge,2017,17.0,3.6,17300
Kia,2015,24.0,1.6,14400
Kia,2015,24.0,1.6,14400
Kia,2015,23.0,2.0,14400
Dodge,2017,17.0,3.6,16300
Dodge,2017,17.0,3.6,16300
Nissan,2006,21.0,2.5,2595
Nissan,2006,21.0,2.5,2595
Nissan,2006,19.0,3.5,2595
Nissan,2006,18.0,3.5,2595
Nissan,2006,18.0,3.5,2595
Volkswagen,2018,26.0,2.0,17999
Hyundai,2017,26.0,1.6,11800
Hyundai,2017,27.0,1.6,11800
Nissan,2018,31.0,1.6,13185
Nissan,2018,27.0,1.6,13185
Nissan,2018,26.0,1.6,13185
Honda,2013,26.0,2.4,13855
Honda,2013,24.0,2.4,13855
Honda,2013,21.0,3.5,13855
Honda,2013,21.0,3.5,13855
Honda,2013,18.0,3.5,13855
Honda,2013,26.0,2.4,13855
Kia,2016,25.0,1.8,12965
Kia,2016,24.0,2.0,12965
Kia,2016,26.0,1.8,12965
Chevrolet,2016,23.0,2.5,15900
Cadillac,2015,14.0,6.2,22300
Cadillac,2015,12.0,6.2,22300
Lexus,2016,22.0,2.0,19999
Toyota,2016,23.0,2.5,18800
Cadillac,2015,18.0,3.6,18800
